District,Sown_Major_Schemes,Sown_Minor_Schemes,Sown_Rainfed,Sown_All_Schemes,Harvested_Major_Schemes,Harvested_Minor_Schemes,Harvested_Rainfed,Harvested_All_Schemes,Yield_Major_Schemes,Yield_Minor_Schemes,Yield_Rainfed,Yield_Average,Harvested_Hectares,Production_MT,Season,Year,Is_National
AMPARA,59732.0,4448.0,15237.0,79417.0,58060.0,4123.0,14611.0,76794.0,4986.0,3965.0,4107.0,4764.0,73392.0,349626.0,Maha,2020.0,False
TRINCOMALEE,20399.0,6887.0,10999.0,38285.0,20399.0,6887.0,10999.0,38285.0,4752.0,4418.0,3647.0,4375.0,35567.0,155592.0,Maha,2020.0,False
KURUNEGALA,17945.0,37748.0,26785.0,82478.0,17871.0,37501.0,26639.0,82011.0,5733.0,4748.0,4036.0,4732.0,82011.0,388043.0,Maha,2020.0,False
PUTTALAM,7905.0,11022.0,1637.0,20564.0,7359.0,10718.0,1511.0,19588.0,4711.0,4629.0,4526.0,4652.0,16649.0,77449.0,Maha,2020.0,False
ANURADHAPURA,54056.0,52287.0,12559.0,118902.0,53756.0,52058.0,12514.0,118328.0,6215.0,5118.0,4716.0,5574.0,95148.0,530356.0,Maha,2020.0,False
POLONNARUWA,56959.0,7431.0,2626.0,67016.0,56734.0,7326.0,2534.0,66594.0,5341.0,6272.0,4305.0,5404.0,58909.0,318352.0,Maha,2020.0,False
BADULLA,10572.0,9730.0,5339.0,25641.0,10572.0,9730.0,5339.0,25641.0,4501.0,4532.0,3986.0,4405.0,21795.0,96017.0,Maha,2020.0,False
MONARAGALA,8963.0,10888.0,14505.0,34356.0,8619.0,10721.0,14313.0,33653.0,6324.0,4688.0,3955.0,4796.0,32981.0,158159.0,Maha,2020.0,False
RATNAPURA,3904.0,4716.0,2136.0,10756.0,3902.0,4708.0,2127.0,10737.0,6096.0,4781.0,3964.0,5097.0,9127.0,46521.0,Maha,2020.0,False
KEGALLE,0.0,1559.0,3797.0,5356.0,0.0,1553.0,3785.0,5338.0,0.0,4167.0,4718.0,4558.0,5001.0,22793.0,Maha,2020.0,False
SRI LANKA,349744.0,200204.0,202300.0,752248.0,342069.0,198247.0,199595.0,739911.0,4883.0,4385.0,4139.0,4531.0,663041.0,3196752.0,Maha,2020.0,True
COLOMBO,319.0,586.0,2314.0,3219.0,319.0,586.0,2314.0,3219.0,3060.0,4134.0,3095.0,3281.0,2736.0,8976.0,Yala,2020.0,False
GAMPAHA,1768.0,3545.0,5131.0,10444.0,1655.0,3429.0,4916.0,10000.0,3980.0,3491.0,3233.0,3445.0,8500.0,29283.0,Yala,2020.0,False
KALUTARA,167.0,1588.0,9898.0,11653.0,167.0,1571.0,9854.0,11592.0,3643.0,3175.0,3409.0,3380.0,10694.0,36149.0,Yala,2020.0,False
KANDY,3703.0,3059.0,2075.0,8837.0,3700.0,3047.0,2056.0,8803.0,5370.0,3046.0,3374.0,4099.0,6961.0,28536.0,Yala,2020.0,False
MATALE,5076.0,2759.0,386.0,8221.0,5076.0,2751.0,382.0,8209.0,5396.0,4487.0,4169.0,5034.0,7382.0,37161.0,Yala,2020.0,False
NUWARAELIYA,824.0,3579.0,3.0,4406.0,824.0,3579.0,3.0,4406.0,6174.0,4131.0,2439.0,4512.0,2483.0,11201.0,Yala,2020.0,False
GALLE,299.0,2080.0,9172.0,11551.0,293.0,1949.0,8673.0,10915.0,2221.0,3050.0,2810.0,2837.0,8542.0,24233.0,Yala,2020.0,False
MATARA,4348.0,3282.0,6283.0,13913.0,4168.0,3213.0,6118.0,13499.0,3855.0,3491.0,3425.0,3573.0,10658.0,38084.0,Yala,2020.0,False
HAMBANTOTA,28626.0,4574.0,967.0,34167.0,28624.0,4570.0,967.0,34161.0,6207.0,5132.0,3474.0,5986.0,29846.0,178647.0,Yala,2020.0,False
JAFFNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yala,2020.0,False
MANNAR,1594.0,16.0,0.0,1610.0,1594.0,16.0,0.0,1610.0,5390.0,3543.0,0.0,5372.0,1537.0,8259.0,Yala,2020.0,False
VAVUNIYA,392.0,1077.0,4.0,1473.0,392.0,1076.0,4.0,1472.0,6294.0,5246.0,3124.0,5520.0,1388.0,7663.0,Yala,2020.0,False
MULATIVU,4392.0,1069.0,0.0,5461.0,4392.0,1069.0,0.0,5461.0,5312.0,4468.0,0.0,5147.0,5152.0,26514.0,Yala,2020.0,False
KILLINOCHCHI,9963.0,71.0,0.0,10034.0,9963.0,71.0,0.0,10034.0,5268.0,2695.0,0.0,5250.0,8904.0,46742.0,Yala,2020.0,False
BATTICALOA,22466.0,4491.0,1998.0,28955.0,22466.0,4479.0,1998.0,28943.0,4523.0,4794.0,4774.0,4582.0,25545.0,117059.0,Yala,2020.0,False
AMPARA,58634.0,2253.0,408.0,61295.0,58169.0,2131.0,408.0,60708.0,5017.0,4843.0,3796.0,5003.0,58018.0,290263.0,Yala,2020.0,False
TRINCOMALEE,18500.0,3344.0,268.0,22112.0,18500.0,3344.0,268.0,22112.0,5475.0,4304.0,3010.0,5268.0,20542.0,108222.0,Yala,2020.0,False
KURUNEGALA,13933.0,25135.0,19059.0,58127.0,13894.0,24293.0,18344.0,56531.0,4954.0,4348.0,4039.0,4397.0,56531.0,248546.0,Yala,2020.0,False
PUTTALAM,7067.0,7094.0,1021.0,15182.0,6970.0,6505.0,788.0,14263.0,4818.0,3934.0,3526.0,4343.0,12123.0,52656.0,Yala,2020.0,False
ANURADHAPURA,28235.0,10721.0,378.0,39334.0,28198.0,10685.0,375.0,39258.0,5181.0,4326.0,3828.0,4936.0,31567.0,155805.0,Yala,2020.0,False
POLONNARUWA,56805.0,5568.0,0.0,62373.0,56805.0,5342.0,0.0,62147.0,5238.0,5313.0,0.0,5244.0,54975.0,288314.0,Yala,2020.0,False
BADULLA,7869.0,3782.0,12.0,11663.0,7868.0,3759.0,12.0,11639.0,5317.0,4255.0,4556.0,4973.0,9893.0,49200.0,Yala,2020.0,False
MONARAGALA,7733.0,5943.0,724.0,14400.0,7691.0,5806.0,688.0,14185.0,5294.0,4646.0,3089.0,4922.0,13902.0,68422.0,Yala,2020.0,False
RATNAPURA,3953.0,5188.0,2321.0,11462.0,3931.0,5113.0,2280.0,11324.0,6073.0,3696.0,3109.0,4403.0,9626.0,42382.0,Yala,2020.0,False
KEGALLE,0.0,1749.0,4565.0,6314.0,0.0,1730.0,4522.0,6252.0,0.0,3816.0,3699.0,3731.0,5857.0,21855.0,Yala,2020.0,False
SRI LANKA,286666.0,102553.0,66987.0,456206.0,285659.0,100114.0,64970.0,450743.0,4959.0,4098.0,3499.0,4552.0,403362.0,1924172.0,Yala,2020.0,True
COLOMBO,324.0,710.0,2796.0,3830.0,324.0,710.0,2777.0,3811.0,3321.0,2236.0,2500.0,2521.0,3239.0,8166.0,Maha,2021.0,False
GAMPAHA,1659.0,3076.0,6776.0,11511.0,1556.0,3036.0,6610.0,11202.0,2056.0,2671.0,3105.0,2842.0,9522.0,27059.0,Maha,2021.0,False
KALUTARA,145.0,1573.0,10221.0,11939.0,129.0,1544.0,9893.0,11566.0,3716.0,2341.0,2583.0,2563.0,10669.0,27349.0,Maha,2021.0,False
KANDY,4268.0,5181.0,2762.0,12211.0,4268.0,5176.0,2757.0,12201.0,3092.0,3190.0,3540.0,3235.0,9649.0,31211.0,Maha,2021.0,False
MATALE,7628.0,7839.0,4525.0,19992.0,7593.0,7815.0,4512.0,19920.0,3089.0,3601.0,3304.0,3339.0,17914.0,59812.0,Maha,2021.0,False
NUWARAELIYA,900.0,4133.0,11.0,5044.0,900.0,4126.0,8.0,5034.0,4652.0,3763.0,3870.0,3922.0,2836.0,11126.0,Maha,2021.0,False
GALLE,144.0,1756.0,9335.0,11235.0,144.0,1706.0,9071.0,10921.0,2653.0,2825.0,2453.0,2514.0,8546.0,21486.0,Maha,2021.0,False
MATARA,4259.0,3193.0,6233.0,13685.0,4105.0,2963.0,6110.0,13178.0,3149.0,2625.0,2573.0,2764.0,10404.0,28761.0,Maha,2021.0,False
HAMBANTOTA,29498.0,5463.0,1143.0,36104.0,29438.0,5438.0,1131.0,36007.0,4144.0,3180.0,3202.0,3969.0,31459.0,124870.0,Maha,2021.0,False
JAFFNA,0.0,0.0,11127.0,11127.0,0.0,0.0,7775.0,7775.0,0.0,0.0,2176.0,2176.0,6899.0,15013.0,Maha,2021.0,False
MANNAR,16114.0,4257.0,95.0,20466.0,15995.0,4094.0,82.0,20171.0,2702.0,2534.0,1304.0,2662.0,19259.0,51276.0,Maha,2021.0,False
VAVUNIYA,4432.0,12374.0,2053.0,18859.0,4432.0,12374.0,2053.0,18859.0,2524.0,2377.0,2020.0,2373.0,17793.0,42222.0,Maha,2021.0,False
MULATIVU,8095.0,4462.0,7433.0,19990.0,8013.0,4411.0,7404.0,19828.0,2267.0,2619.0,2158.0,2305.0,18707.0,43110.0,Maha,2021.0,False
KILLINOCHCHI,12171.0,577.0,14655.0,27403.0,12171.0,577.0,14655.0,27403.0,2847.0,2791.0,2172.0,2485.0,24317.0,60417.0,Maha,2021.0,False
BATTICALOA,24312.0,3830.0,38378.0,66520.0,24312.0,3830.0,38378.0,66520.0,1918.0,1717.0,1456.0,1639.0,58711.0,96253.0,Maha,2021.0,False
AMPARA,61692.0,4643.0,16107.0,82442.0,61535.0,4612.0,15083.0,81230.0,3046.0,2680.0,2141.0,2857.0,77631.0,221529.0,Maha,2021.0,False
TRINCOMALEE,21078.0,7495.0,11077.0,39650.0,21071.0,7490.0,11068.0,39629.0,3199.0,2482.0,1762.0,2662.0,36815.0,98005.0,Maha,2021.0,False
KURUNEGALA,17608.0,37541.0,26305.0,81454.0,17562.0,37171.0,25876.0,80609.0,3405.0,3060.0,3353.0,3229.0,80609.0,260302.0,Maha,2021.0,False
PUTTALAM,8316.0,10591.0,2023.0,20930.0,7836.0,9793.0,1849.0,19478.0,2490.0,2281.0,2803.0,2415.0,16557.0,39985.0,Maha,2021.0,False
ANURADHAPURA,52690.0,50615.0,13664.0,116969.0,52616.0,50328.0,13621.0,116565.0,3132.0,2698.0,2525.0,2873.0,93730.0,260448.0,Maha,2021.0,False
